运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD2885967,杭州朝阳区,杭州南山区,张芳,EMP_056,赵敏贸易公司,顺丰速运,化工品,整车,4458kg,5.95m³,739元,2764元,2025-07-01 19:40,2025-12-13 06:01,2025-07-01 19:40,2025-05-12 23:04,派送中,赵敏,1782km,鼓楼网点,浦东网点,未及时签收,低
WLYD5713080,广州天河区,南京鼓楼区,张洋,EMP_061,李芳贸易公司,顺丰速运,服装,零担,1678kg,7.92m³,4321元,941元,2026-01-22 17:46,2026-06-23 02:18,2026-01-22 17:46,2025-05-13 02:49,派送中,刘强,889km,朝阳网点,天河网点,运费异常,低
WLYD5950740,杭州余杭区,深圳南山区,周敏,EMP_025,黄洋贸易公司,顺丰速运,食品,合同物流,1679kg,7.54m³,2765元,2730元,2025-02-16 11:17,2025-05-24 07:53,2025-02-16 11:17,2026-05-10 07:10,已签收,李丽,775km,余杭网点,余杭网点,包装破损,中
WLYD7886315,广州天河区,上海南山区,李静,EMP_100,吴洋贸易公司,顺丰速运,化工品,零担,3440kg,9.34m³,1501元,2441元,2025-02-27 11:32,2026-07-15 11:25,2025-02-27 11:32,2025-09-22 21:14,已签收,杨秀英,1447km,浦东网点,鼓楼网点,虚假签收,中
WLYD9209724,南京浦东新区,上海浦东新区,李洋,EMP_005,赵洋贸易公司,顺丰速运,服装,整车,4550kg,2.24m³,2945元,1920元,2025-09-03 18:49,2026-04-22 02:53,2025-09-03 18:49,2026-01-17 12:49,已退回,周静,386km,鼓楼网点,朝阳网点,重量异常,低
WLYD5303305,北京鼓楼区,南京浦东新区,吴磊,EMP_022,刘伟贸易公司,顺丰速运,化工品,零担,2243kg,2.19m³,2416元,2237元,2026-03-22 09:17,2025-12-28 17:32,2026-03-22 09:17,2025-12-16 07:49,派送中,王芳,1108km,余杭网点,浦东网点,包装破损,中
WLYD7198609,南京余杭区,北京南山区,陈伟,EMP_008,刘磊贸易公司,顺丰速运,食品,整车,4206kg,2.79m³,4841元,3459元,2026-01-20 20:22,2025-05-13 10:29,2026-01-20 20:22,2025-10-16 04:10,派送中,李芳,948km,鼓楼网点,朝阳网点,未及时签收,低
WLYD1343450,南京天河区,深圳鼓楼区,王娜,EMP_040,吴强贸易公司,顺丰速运,化工品,整车,4164kg,2.77m³,916元,3480元,2026-10-22 05:16,2025-04-12 16:30,2026-10-22 05:16,2025-04-03 11:09,已退回,刘娜,1195km,鼓楼网点,浦东网点,超时派送,高
WLYD5610610,北京鼓楼区,杭州鼓楼区,刘秀英,EMP_087,赵磊贸易公司,顺丰速运,化工品,整车,4180kg,3.66m³,3207元,3259元,2025-05-24 00:16,2025-05-27 01:54,2025-05-24 00:16,2025-07-19 23:39,派送中,刘强,905km,鼓楼网点,浦东网点,包装破损,低
WLYD2967739,北京天河区,北京天河区,杨强,EMP_069,黄娜贸易公司,顺丰速运,电子产品,零担,2595kg,8.41m³,1359元,2797元,2026-01-01 01:44,2026-04-01 01:54,2026-01-01 01:44,2026-09-05 13:30,已签收,周磊,130km,余杭网点,浦东网点,重量异常,低
WLYD2541052,广州浦东新区,杭州天河区,陈静,EMP_030,李磊贸易公司,顺丰速运,化工品,零担,198kg,1.33m³,1177元,2711元,2026-06-28 21:30,2025-09-21 03:03,2026-06-28 21:30,2026-08-04 20:12,派送中,赵洋,933km,南山网点,鼓楼网点,超时派送,低
WLYD6715166,杭州余杭区,广州朝阳区,王秀英,EMP_052,张洋贸易公司,顺丰速运,化工品,零担,3035kg,5.52m³,4657元,4541元,2026-04-09 14:26,2026-05-06 16:11,2026-04-09 14:26,2025-12-13 23:22,已退回,黄强,673km,南山网点,朝阳网点,重量异常,低
WLYD3782098,南京余杭区,北京天河区,吴丽,EMP_063,杨洋贸易公司,顺丰速运,建材,合同物流,4307kg,8.47m³,4785元,2643元,2026-11-28 07:11,2026-03-21 19:05,2026-11-28 07:11,2026-08-05 22:30,已签收,陈芳,1235km,朝阳网点,鼓楼网点,超时派送,中
WLYD1562633,上海南山区,深圳天河区,周丽,EMP_081,杨静贸易公司,顺丰速运,化工品,合同物流,2693kg,1.16m³,4085元,1989元,2025-06-25 15:37,2025-02-08 01:28,2025-06-25 15:37,2025-03-07 14:54,已签收,张磊,1905km,浦东网点,天河网点,货物损坏,低
WLYD1089693,杭州南山区,北京余杭区,张强,EMP_056,吴娜贸易公司,顺丰速运,服装,零担,3907kg,6.46m³,2965元,1132元,2025-07-08 01:56,2025-03-20 20:12,2025-07-08 01:56,2026-03-04 16:14,已退回,刘静,872km,余杭网点,鼓楼网点,未及时签收,低
WLYD3250562,杭州余杭区,北京天河区,吴伟,EMP_066,赵秀英贸易公司,顺丰速运,化工品,合同物流,1486kg,5.17m³,4371元,2487元,2026-05-03 11:05,2026-03-02 03:59,2026-05-03 11:05,2025-04-15 08:41,已签收,吴丽,1270km,南山网点,浦东网点,虚假签收,中
WLYD8350822,北京朝阳区,深圳南山区,陈洋,EMP_085,赵伟贸易公司,顺丰速运,电子产品,零担,1766kg,4.03m³,250元,1159元,2026-06-02 23:07,2026-06-08 14:39,2026-06-02 23:07,2026-07-02 23:00,已签收,李芳,1680km,天河网点,余杭网点,运费异常,中
WLYD3326285,北京南山区,广州鼓楼区,李强,EMP_060,王娜贸易公司,顺丰速运,服装,合同物流,3666kg,4.75m³,183元,1744元,2025-09-07 06:40,2025-10-10 19:35,2025-09-07 06:40,2025-11-23 13:38,派送中,刘静,1658km,南山网点,浦东网点,货物损坏,低
WLYD4291154,广州朝阳区,深圳余杭区,王芳,EMP_021,黄伟贸易公司,顺丰速运,食品,合同物流,3065kg,7.52m³,3285元,2656元,2025-01-23 09:56,2025-05-23 14:30,2025-01-23 09:56,2025-11-24 04:33,派送中,杨娜,1008km,南山网点,余杭网点,虚假签收,中
WLYD1570234,广州鼓楼区,南京朝阳区,王敏,EMP_088,李敏贸易公司,顺丰速运,食品,整车,686kg,1.94m³,1973元,1623元,2026-06-01 11:59,2026-10-04 01:13,2026-06-01 11:59,2025-04-22 09:51,已签收,张秀英,356km,南山网点,朝阳网点,未及时签收,低
WLYD3684387,深圳南山区,杭州朝阳区,杨洋,EMP_099,陈洋贸易公司,顺丰速运,食品,整车,3593kg,6.50m³,3920元,2582元,2026-07-15 10:21,2026-03-25 19:13,2026-07-15 10:21,2026-03-18 13:14,派送中,杨磊,1198km,天河网点,天河网点,路线异常,高
WLYD5661066,南京天河区,北京南山区,刘娜,EMP_028,杨强贸易公司,顺丰速运,食品,合同物流,4211kg,9.00m³,4244元,1335元,2025-09-11 07:43,2025-07-01 08:20,2025-09-11 07:43,2026-12-12 02:52,已签收,张丽,226km,鼓楼网点,天河网点,运费异常,低
WLYD3319656,广州浦东新区,南京天河区,吴娜,EMP_060,赵静贸易公司,顺丰速运,电子产品,合同物流,4780kg,4.20m³,854元,4091元,2025-04-14 03:03,2026-07-06 14:39,2025-04-14 03:03,2026-03-17 01:12,派送中,张强,502km,天河网点,朝阳网点,货物损坏,低
WLYD8290729,深圳南山区,北京浦东新区,周芳,EMP_097,陈强贸易公司,顺丰速运,食品,整车,1685kg,0.69m³,2726元,3849元,2026-10-18 07:28,2026-01-24 13:52,2026-10-18 07:28,2025-06-26 14:56,已签收,刘敏,1095km,浦东网点,浦东网点,重量异常,高
WLYD8927819,南京浦东新区,南京朝阳区,黄伟,EMP_020,杨丽贸易公司,顺丰速运,电子产品,零担,4367kg,8.13m³,3208元,1188元,2026-11-06 09:36,2025-02-24 16:19,2026-11-06 09:36,2026-04-06 18:30,已签收,陈娜,809km,鼓楼网点,余杭网点,未及时签收,高
WLYD5399060,上海余杭区,南京朝阳区,张秀英,EMP_056,陈芳贸易公司,顺丰速运,建材,合同物流,3315kg,2.61m³,2817元,1458元,2026-02-27 01:23,2026-01-16 05:40,2026-02-27 01:23,2026-10-22 21:59,已退回,杨磊,404km,鼓楼网点,鼓楼网点,路线异常,高
WLYD3802777,上海鼓楼区,广州朝阳区,刘静,EMP_014,杨洋贸易公司,顺丰速运,化工品,零担,3416kg,5.43m³,3220元,1363元,2026-01-06 16:02,2025-12-05 22:31,2026-01-06 16:02,2026-08-05 00:30,已签收,黄娜,189km,浦东网点,天河网点,虚假签收,中
WLYD7427801,北京浦东新区,北京天河区,王芳,EMP_001,杨静贸易公司,顺丰速运,食品,合同物流,1284kg,0.64m³,179元,4205元,2026-10-07 17:30,2025-12-01 08:49,2026-10-07 17:30,2025-07-25 20:55,已签收,周磊,772km,余杭网点,浦东网点,超时派送,中
WLYD8680702,南京鼓楼区,广州鼓楼区,刘敏,EMP_097,周芳贸易公司,顺丰速运,食品,零担,4697kg,4.89m³,4151元,709元,2025-07-03 20:42,2025-01-07 12:28,2025-07-03 20:42,2026-07-26 03:53,已签收,张敏,1092km,浦东网点,南山网点,包装破损,低
WLYD8523996,上海朝阳区,上海余杭区,杨芳,EMP_072,张秀英贸易公司,顺丰速运,电子产品,零担,3381kg,8.35m³,435元,1551元,2025-07-12 14:39,2025-10-01 08:43,2025-07-12 14:39,2026-08-14 02:03,派送中,杨秀英,589km,南山网点,南山网点,超时派送,高
WLYD8153211,南京朝阳区,上海南山区,李洋,EMP_025,黄娜贸易公司,顺丰速运,服装,零担,1082kg,8.95m³,3890元,413元,2025-01-05 13:00,2025-06-13 13:46,2025-01-05 13:00,2026-04-26 15:40,派送中,黄强,666km,天河网点,浦东网点,虚假签收,低
WLYD2491725,上海余杭区,南京鼓楼区,杨磊,EMP_060,李磊贸易公司,顺丰速运,建材,零担,992kg,4.07m³,917元,364元,2025-05-09 02:57,2026-01-11 17:54,2025-05-09 02:57,2026-09-10 04:54,派送中,吴静,639km,南山网点,南山网点,路线异常,高
WLYD1466017,南京鼓楼区,南京朝阳区,李芳,EMP_063,吴芳贸易公司,顺丰速运,建材,合同物流,2347kg,1.68m³,2651元,3351元,2026-12-09 10:04,2025-02-17 22:09,2026-12-09 10:04,2026-09-21 03:17,派送中,赵芳,455km,余杭网点,鼓楼网点,路线异常,中
WLYD1312257,杭州南山区,北京余杭区,陈磊,EMP_098,陈静贸易公司,顺丰速运,食品,整车,2270kg,4.25m³,2920元,3794元,2026-12-16 21:01,2025-04-05 17:36,2026-12-16 21:01,2025-04-14 04:18,派送中,王洋,830km,余杭网点,朝阳网点,超时派送,高
WLYD8810546,深圳天河区,南京余杭区,吴洋,EMP_004,周芳贸易公司,顺丰速运,电子产品,整车,779kg,6.89m³,228元,4282元,2026-06-23 03:07,2025-01-15 17:46,2026-06-23 03:07,2026-02-24 22:29,已退回,周芳,740km,浦东网点,余杭网点,超时派送,中
WLYD8926546,深圳余杭区,北京浦东新区,陈芳,EMP_043,陈秀英贸易公司,顺丰速运,服装,零担,524kg,3.25m³,2032元,1451元,2025-08-08 07:48,2026-05-13 02:44,2025-08-08 07:48,2025-01-26 16:24,派送中,陈洋,1811km,天河网点,浦东网点,未及时签收,中
WLYD9876047,广州浦东新区,深圳天河区,杨芳,EMP_059,李娜贸易公司,顺丰速运,服装,合同物流,3744kg,7.46m³,960元,892元,2025-05-18 05:11,2026-09-05 21:55,2025-05-18 05:11,2026-08-07 04:23,派送中,刘秀英,1705km,南山网点,朝阳网点,超时派送,中
WLYD9568268,深圳鼓楼区,北京天河区,陈磊,EMP_083,周洋贸易公司,顺丰速运,化工品,整车,202kg,7.54m³,2446元,922元,2025-05-20 17:09,2026-06-24 06:01,2025-05-20 17:09,2025-05-08 15:00,派送中,王敏,816km,鼓楼网点,浦东网点,货物损坏,低
WLYD3591237,北京鼓楼区,南京天河区,周洋,EMP_062,杨磊贸易公司,顺丰速运,化工品,合同物流,255kg,4.84m³,2618元,739元,2025-01-26 18:46,2025-03-27 06:14,2025-01-26 18:46,2026-10-04 13:32,派送中,刘敏,1215km,南山网点,南山网点,路线异常,低
WLYD3224448,上海朝阳区,上海天河区,杨娜,EMP_027,刘丽贸易公司,顺丰速运,建材,零担,3433kg,6.55m³,4537元,504元,2026-05-10 07:29,2025-07-02 22:12,2026-05-10 07:29,2025-03-21 08:54,派送中,李丽,1898km,南山网点,余杭网点,虚假签收,中
WLYD8588469,北京余杭区,杭州浦东新区,张静,EMP_049,陈静贸易公司,顺丰速运,建材,零担,3600kg,0.17m³,1114元,187元,2026-03-02 04:39,2025-03-05 17:27,2026-03-02 04:39,2026-11-05 05:58,派送中,周秀英,374km,天河网点,天河网点,未及时签收,低
WLYD2658973,深圳南山区,上海浦东新区,赵强,EMP_098,赵敏贸易公司,顺丰速运,电子产品,整车,4764kg,3.99m³,2580元,2919元,2025-07-15 13:12,2025-04-11 09:28,2025-07-15 13:12,2025-07-27 21:31,已退回,赵洋,864km,鼓楼网点,天河网点,包装破损,中
WLYD1654902,深圳朝阳区,深圳浦东新区,张磊,EMP_046,黄强贸易公司,顺丰速运,服装,零担,3256kg,9.73m³,4338元,4382元,2026-06-12 11:52,2025-07-14 08:28,2026-06-12 11:52,2025-07-03 05:59,已退回,陈静,1348km,南山网点,浦东网点,货物损坏,高
WLYD3643201,上海鼓楼区,北京朝阳区,刘静,EMP_058,赵娜贸易公司,顺丰速运,建材,合同物流,3867kg,2.06m³,4448元,3534元,2026-05-21 14:51,2026-05-05 03:51,2026-05-21 14:51,2026-01-05 02:35,已退回,陈丽,1980km,浦东网点,鼓楼网点,包装破损,低
WLYD5878902,杭州天河区,深圳朝阳区,周静,EMP_064,李秀英贸易公司,顺丰速运,服装,整车,3565kg,2.29m³,3863元,1853元,2025-08-11 14:40,2025-09-19 12:57,2025-08-11 14:40,2026-03-06 05:58,已退回,黄强,1917km,鼓楼网点,朝阳网点,超时派送,中
WLYD8408705,上海余杭区,上海南山区,刘伟,EMP_064,吴磊贸易公司,顺丰速运,化工品,整车,2565kg,5.08m³,4125元,1563元,2025-05-10 10:31,2025-12-06 22:26,2025-05-10 10:31,2025-11-16 19:27,已签收,王秀英,689km,朝阳网点,天河网点,货物损坏,中
WLYD6433155,深圳余杭区,北京南山区,王洋,EMP_039,杨丽贸易公司,顺丰速运,建材,整车,3091kg,7.10m³,1356元,2679元,2025-10-03 01:32,2026-09-28 15:45,2025-10-03 01:32,2025-01-16 15:43,已签收,张磊,1566km,南山网点,浦东网点,路线异常,中
WLYD8213369,南京浦东新区,南京朝阳区,杨丽,EMP_089,刘强贸易公司,顺丰速运,食品,整车,3697kg,4.17m³,4108元,1367元,2026-12-10 05:36,2025-09-13 05:22,2026-12-10 05:36,2026-05-28 02:06,已退回,黄敏,235km,天河网点,余杭网点,虚假签收,中
WLYD2051368,广州南山区,南京余杭区,吴秀英,EMP_015,周丽贸易公司,顺丰速运,电子产品,零担,3583kg,4.33m³,2749元,280元,2025-10-10 23:29,2026-09-14 12:17,2025-10-10 23:29,2026-02-20 03:21,派送中,黄强,670km,天河网点,天河网点,路线异常,高
WLYD4736376,南京朝阳区,杭州朝阳区,王芳,EMP_091,赵丽贸易公司,顺丰速运,食品,零担,4218kg,5.57m³,4680元,4764元,2025-01-27 15:42,2026-02-21 07:52,2025-01-27 15:42,2026-12-14 18:15,已退回,周娜,1328km,朝阳网点,天河网点,运费异常,高
WLYD2250106,南京南山区,深圳朝阳区,吴洋,EMP_100,张洋贸易公司,顺丰速运,电子产品,零担,3959kg,4.83m³,4569元,1956元,2025-08-01 12:52,2025-04-28 03:21,2025-08-01 12:52,2025-08-08 02:31,派送中,李娜,1068km,天河网点,天河网点,路线异常,高
WLYD7884606,深圳鼓楼区,杭州浦东新区,王磊,EMP_017,周芳贸易公司,顺丰速运,建材,合同物流,2450kg,2.41m³,1036元,2709元,2026-07-22 05:03,2025-11-21 03:07,2026-07-22 05:03,2025-03-08 02:50,派送中,黄敏,1833km,余杭网点,浦东网点,货物损坏,低
WLYD9547393,深圳朝阳区,南京余杭区,刘静,EMP_057,刘秀英贸易公司,顺丰速运,电子产品,合同物流,2290kg,4.47m³,1738元,2254元,2025-02-07 09:41,2026-06-24 18:30,2025-02-07 09:41,2025-02-12 16:25,已签收,张磊,1574km,朝阳网点,朝阳网点,超时派送,低
WLYD2211565,杭州鼓楼区,杭州南山区,张磊,EMP_086,张芳贸易公司,顺丰速运,化工品,零担,4715kg,1.68m³,1751元,2332元,2025-07-10 19:16,2026-09-20 09:33,2025-07-10 19:16,2026-11-06 16:33,已签收,黄静,1481km,南山网点,浦东网点,重量异常,高
WLYD1955664,北京鼓楼区,深圳鼓楼区,张丽,EMP_027,吴芳贸易公司,顺丰速运,食品,整车,1111kg,7.99m³,1687元,1309元,2026-06-14 11:30,2025-04-03 11:43,2026-06-14 11:30,2025-05-20 19:42,已签收,赵芳,867km,天河网点,浦东网点,路线异常,低
WLYD9890126,南京余杭区,北京浦东新区,杨磊,EMP_030,赵秀英贸易公司,顺丰速运,食品,零担,494kg,0.73m³,427元,2394元,2026-02-04 05:19,2025-02-21 20:26,2026-02-04 05:19,2026-09-05 01:59,派送中,王强,967km,朝阳网点,朝阳网点,超时派送,中
WLYD4376482,广州南山区,杭州朝阳区,吴洋,EMP_045,赵娜贸易公司,顺丰速运,电子产品,零担,41kg,5.18m³,3714元,3992元,2026-12-26 16:32,2025-09-15 04:11,2026-12-26 16:32,2026-03-14 16:11,已签收,王磊,1117km,天河网点,浦东网点,包装破损,中
WLYD4892068,广州余杭区,杭州余杭区,周洋,EMP_028,刘强贸易公司,顺丰速运,建材,零担,550kg,5.03m³,3066元,1818元,2025-02-13 22:12,2026-01-03 07:14,2025-02-13 22:12,2025-07-20 09:05,派送中,吴敏,1595km,南山网点,鼓楼网点,包装破损,高
WLYD5353667,上海浦东新区,杭州南山区,李静,EMP_079,王娜贸易公司,顺丰速运,电子产品,整车,4383kg,6.51m³,3510元,4362元,2025-05-15 05:08,2025-12-08 19:58,2025-05-15 05:08,2026-08-21 08:23,已退回,王芳,184km,鼓楼网点,余杭网点,包装破损,低
WLYD4896689,北京朝阳区,北京浦东新区,吴丽,EMP_014,吴丽贸易公司,顺丰速运,电子产品,零担,1947kg,1.07m³,2519元,2699元,2026-01-17 11:00,2026-12-13 12:34,2026-01-17 11:00,2026-05-12 17:59,派送中,吴洋,194km,天河网点,天河网点,路线异常,低
WLYD7098579,南京鼓楼区,上海鼓楼区,陈磊,EMP_036,刘秀英贸易公司,顺丰速运,化工品,合同物流,2643kg,1.22m³,3061元,3043元,2026-07-24 10:25,2025-08-17 13:26,2026-07-24 10:25,2026-11-08 19:59,派送中,刘芳,1026km,朝阳网点,鼓楼网点,虚假签收,中
WLYD6228639,上海浦东新区,北京浦东新区,杨娜,EMP_017,陈伟贸易公司,顺丰速运,建材,零担,1957kg,8.99m³,2091元,371元,2025-08-14 16:41,2026-09-19 05:20,2025-08-14 16:41,2026-07-14 20:18,已签收,周磊,675km,余杭网点,浦东网点,运费异常,高
WLYD6781383,杭州天河区,上海南山区,李秀英,EMP_007,刘芳贸易公司,顺丰速运,服装,零担,3684kg,5.01m³,1521元,2863元,2026-12-15 06:59,2026-10-25 11:48,2026-12-15 06:59,2025-10-18 10:35,已签收,吴芳,1136km,余杭网点,南山网点,超时派送,高
WLYD9685234,杭州余杭区,南京南山区,赵丽,EMP_050,黄丽贸易公司,顺丰速运,电子产品,整车,4223kg,9.87m³,454元,681元,2025-09-19 00:54,2026-10-03 11:37,2025-09-19 00:54,2025-08-10 06:56,派送中,刘秀英,79km,余杭网点,天河网点,未及时签收,高
WLYD3141343,北京朝阳区,南京鼓楼区,周娜,EMP_072,赵丽贸易公司,顺丰速运,电子产品,整车,1179kg,2.55m³,1812元,1618元,2026-04-02 14:18,2025-07-03 05:48,2026-04-02 14:18,2026-02-23 21:07,已退回,黄敏,375km,天河网点,鼓楼网点,运费异常,低
WLYD4411069,上海余杭区,广州鼓楼区,张洋,EMP_098,张磊贸易公司,顺丰速运,电子产品,合同物流,1261kg,0.38m³,4366元,3142元,2026-11-16 17:18,2026-04-15 20:21,2026-11-16 17:18,2026-05-26 11:52,已签收,张伟,361km,余杭网点,鼓楼网点,包装破损,高
WLYD6388699,深圳余杭区,上海南山区,王伟,EMP_099,周敏贸易公司,顺丰速运,化工品,零担,2183kg,8.83m³,4054元,3481元,2026-08-10 09:33,2025-05-03 12:30,2026-08-10 09:33,2026-03-07 22:43,已签收,杨磊,58km,天河网点,浦东网点,包装破损,中
WLYD6810146,上海余杭区,南京朝阳区,杨敏,EMP_092,李丽贸易公司,顺丰速运,建材,合同物流,187kg,4.99m³,1767元,587元,2026-08-02 15:09,2025-04-15 07:26,2026-08-02 15:09,2026-08-25 04:41,已签收,吴娜,223km,鼓楼网点,朝阳网点,未及时签收,低
WLYD4585380,上海朝阳区,广州朝阳区,张秀英,EMP_047,张伟贸易公司,顺丰速运,化工品,合同物流,1762kg,2.05m³,4302元,1894元,2026-04-20 11:17,2026-11-21 01:41,2026-04-20 11:17,2026-04-01 09:38,已签收,王敏,1384km,朝阳网点,天河网点,货物损坏,低
WLYD2500959,北京朝阳区,杭州余杭区,杨静,EMP_051,周秀英贸易公司,顺丰速运,食品,整车,3311kg,1.10m³,2967元,925元,2026-11-04 05:32,2025-10-19 12:43,2026-11-04 05:32,2026-01-27 05:26,已退回,张敏,213km,天河网点,天河网点,虚假签收,中
WLYD9962397,上海南山区,南京朝阳区,黄磊,EMP_011,张伟贸易公司,顺丰速运,食品,零担,2225kg,6.50m³,2096元,3801元,2026-08-19 23:32,2026-07-18 16:26,2026-08-19 23:32,2026-03-20 16:24,派送中,周娜,1793km,朝阳网点,鼓楼网点,未及时签收,高
WLYD8365872,上海南山区,广州朝阳区,王芳,EMP_022,赵秀英贸易公司,顺丰速运,化工品,零担,4741kg,7.64m³,1601元,3616元,2025-06-11 01:15,2026-08-11 13:18,2025-06-11 01:15,2026-08-11 16:20,已签收,王磊,68km,浦东网点,浦东网点,虚假签收,高
WLYD8701198,深圳浦东新区,广州余杭区,黄强,EMP_073,杨秀英贸易公司,顺丰速运,食品,零担,3446kg,8.83m³,654元,3529元,2026-12-24 02:27,2025-12-01 21:32,2026-12-24 02:27,2025-10-03 01:57,派送中,张伟,569km,余杭网点,余杭网点,虚假签收,中
WLYD6572053,南京余杭区,杭州南山区,周敏,EMP_003,黄强贸易公司,顺丰速运,化工品,零担,1680kg,5.01m³,2424元,3820元,2025-01-04 02:18,2025-05-21 11:45,2025-01-04 02:18,2025-04-25 20:54,已退回,陈洋,216km,南山网点,朝阳网点,未及时签收,高
WLYD7659068,北京朝阳区,上海朝阳区,杨敏,EMP_033,赵强贸易公司,顺丰速运,食品,零担,852kg,6.39m³,1996元,1059元,2025-07-24 01:04,2026-01-21 02:10,2025-07-24 01:04,2026-07-05 19:17,派送中,黄磊,1652km,浦东网点,鼓楼网点,路线异常,高
WLYD6303161,广州鼓楼区,上海余杭区,杨静,EMP_026,张洋贸易公司,顺丰速运,建材,合同物流,35kg,2.26m³,4399元,542元,2026-02-23 01:19,2026-03-04 22:48,2026-02-23 01:19,2025-06-08 10:54,已签收,周芳,81km,余杭网点,南山网点,重量异常,低
WLYD5261362,上海鼓楼区,南京鼓楼区,张伟,EMP_006,赵敏贸易公司,顺丰速运,食品,整车,3084kg,7.49m³,4313元,2864元,2026-09-23 11:20,2025-04-12 10:31,2026-09-23 11:20,2025-12-27 10:30,派送中,王娜,816km,天河网点,余杭网点,路线异常,中
WLYD8640764,上海朝阳区,广州鼓楼区,吴芳,EMP_086,陈磊贸易公司,顺丰速运,食品,合同物流,3810kg,2.23m³,3043元,1837元,2025-05-25 21:37,2026-06-20 10:53,2025-05-25 21:37,2026-10-01 07:49,派送中,李娜,1355km,天河网点,天河网点,重量异常,中
WLYD4349331,南京浦东新区,杭州朝阳区,吴丽,EMP_010,周丽贸易公司,顺丰速运,电子产品,整车,2743kg,9.97m³,2238元,1474元,2025-01-20 11:20,2025-12-21 19:22,2025-01-20 11:20,2025-05-02 17:36,派送中,张芳,1506km,朝阳网点,浦东网点,货物损坏,高
WLYD1258493,北京朝阳区,广州余杭区,陈静,EMP_023,吴敏贸易公司,顺丰速运,化工品,零担,3069kg,3.91m³,3535元,841元,2026-11-25 18:00,2025-02-14 13:47,2026-11-25 18:00,2025-08-28 10:49,已签收,杨娜,1033km,余杭网点,南山网点,路线异常,高
WLYD8615656,深圳余杭区,杭州天河区,李秀英,EMP_091,赵磊贸易公司,顺丰速运,建材,整车,453kg,4.77m³,1491元,1803元,2026-07-10 07:39,2026-10-27 04:55,2026-07-10 07:39,2025-10-21 06:40,派送中,杨磊,1250km,南山网点,余杭网点,包装破损,高
WLYD5367069,杭州朝阳区,深圳朝阳区,赵丽,EMP_095,周芳贸易公司,顺丰速运,食品,合同物流,379kg,8.13m³,4051元,988元,2026-08-23 13:51,2025-04-04 00:27,2026-08-23 13:51,2025-06-25 01:25,已签收,赵敏,365km,浦东网点,浦东网点,超时派送,中
WLYD5883508,北京天河区,北京朝阳区,陈静,EMP_066,黄伟贸易公司,顺丰速运,建材,合同物流,1921kg,4.37m³,2202元,1930元,2026-03-25 15:36,2025-05-08 08:25,2026-03-25 15:36,2025-03-25 15:18,已签收,周洋,1115km,天河网点,天河网点,货物损坏,高
WLYD4994486,广州鼓楼区,深圳天河区,刘静,EMP_097,周芳贸易公司,顺丰速运,建材,整车,2474kg,1.57m³,2498元,1036元,2025-03-05 20:00,2025-06-13 20:16,2025-03-05 20:00,2025-03-03 05:41,已签收,王磊,1422km,余杭网点,余杭网点,运费异常,中
WLYD6683123,杭州浦东新区,广州余杭区,黄娜,EMP_067,周伟贸易公司,顺丰速运,建材,整车,3780kg,3.27m³,3013元,2889元,2026-11-28 09:07,2025-04-04 16:40,2026-11-28 09:07,2026-08-16 04:54,已签收,赵洋,854km,浦东网点,浦东网点,虚假签收,中
WLYD1263389,上海南山区,上海余杭区,张伟,EMP_086,王静贸易公司,顺丰速运,建材,合同物流,4401kg,6.52m³,1650元,1133元,2026-07-12 16:37,2025-08-08 04:50,2026-07-12 16:37,2025-09-24 00:52,已签收,杨强,1235km,余杭网点,浦东网点,包装破损,低
WLYD9949936,南京余杭区,上海朝阳区,张强,EMP_075,刘静贸易公司,顺丰速运,电子产品,合同物流,2893kg,1.82m³,4504元,4433元,2025-07-14 19:11,2026-02-08 17:49,2025-07-14 19:11,2025-02-16 04:27,派送中,陈芳,1260km,天河网点,浦东网点,重量异常,高
WLYD5959929,南京天河区,北京鼓楼区,吴芳,EMP_032,张强贸易公司,顺丰速运,建材,合同物流,4279kg,7.24m³,2999元,3931元,2026-07-13 10:54,2026-02-13 13:05,2026-07-13 10:54,2026-01-26 19:25,已签收,陈娜,74km,鼓楼网点,南山网点,货物损坏,高
WLYD7768659,杭州天河区,南京天河区,陈强,EMP_046,周伟贸易公司,顺丰速运,建材,零担,3270kg,6.85m³,4887元,2045元,2025-09-16 10:01,2026-01-04 20:29,2025-09-16 10:01,2026-02-01 23:26,已退回,李磊,1650km,余杭网点,浦东网点,路线异常,低
WLYD1008906,北京天河区,杭州天河区,杨秀英,EMP_053,李丽贸易公司,顺丰速运,服装,合同物流,2007kg,6.38m³,1068元,4431元,2025-07-03 04:33,2025-01-28 19:21,2025-07-03 04:33,2026-08-25 20:23,派送中,周丽,1074km,鼓楼网点,余杭网点,货物损坏,高
WLYD5614399,北京鼓楼区,杭州朝阳区,吴磊,EMP_008,张强贸易公司,顺丰速运,化工品,零担,721kg,9.93m³,4359元,4294元,2026-08-15 13:49,2025-09-25 12:30,2026-08-15 13:49,2026-05-13 20:19,派送中,赵秀英,1678km,天河网点,南山网点,超时派送,低
